
epoch=0, train_loss=42630.81023202, eval_loss=19683.41429249, evalOverTrain=0.46171804
epoch=1, train_loss=42277.64305526, eval_loss=19612.65791720, evalOverTrain=0.46390140
epoch=2, train_loss=41719.69722328, eval_loss=19391.48096388, evalOverTrain=0.46480397
epoch=3, train_loss=41643.93140987, eval_loss=19191.84806482, evalOverTrain=0.46085582
epoch=4, train_loss=40718.94364799, eval_loss=19013.07349769, evalOverTrain=0.46693435
epoch=5, train_loss=41692.98045977, eval_loss=18843.25821708, evalOverTrain=0.45195278
epoch=6, train_loss=40133.42612945, eval_loss=18441.86534675, evalOverTrain=0.45951385
epoch=7, train_loss=39104.49364390, eval_loss=18119.85881622, evalOverTrain=0.46337025
epoch=8, train_loss=37763.16564734, eval_loss=17855.88423515, evalOverTrain=0.47283865
epoch=9, train_loss=36977.26439276, eval_loss=17473.19116212, evalOverTrain=0.47253877
epoch=10, train_loss=35975.57960165, eval_loss=17157.69545574, evalOverTrain=0.47692617
epoch=11, train_loss=35698.44204050, eval_loss=16732.05810045, evalOverTrain=0.46870556
epoch=12, train_loss=35237.76680877, eval_loss=16279.67998301, evalOverTrain=0.46199522
epoch=13, train_loss=34439.14696369, eval_loss=16027.25811632, evalOverTrain=0.46537907
epoch=14, train_loss=33126.76688831, eval_loss=15671.86094668, evalOverTrain=0.47308755
epoch=15, train_loss=32541.76337161, eval_loss=15443.78315532, evalOverTrain=0.47458348
epoch=16, train_loss=31582.08093886, eval_loss=15047.98071045, evalOverTrain=0.47647211
epoch=17, train_loss=31241.51552641, eval_loss=14748.07619312, evalOverTrain=0.47206661
epoch=18, train_loss=30534.14884211, eval_loss=14524.90724812, evalOverTrain=0.47569386
epoch=19, train_loss=29161.70265980, eval_loss=14307.41634741, evalOverTrain=0.49062349
epoch=20, train_loss=29332.34486500, eval_loss=14044.03213208, evalOverTrain=0.47878996
epoch=21, train_loss=28352.52400933, eval_loss=13700.75844762, evalOverTrain=0.48322888
epoch=22, train_loss=28331.76668709, eval_loss=13459.60764683, evalOverTrain=0.47507124
epoch=23, train_loss=27011.23906696, eval_loss=13209.34002129, evalOverTrain=0.48903125
epoch=24, train_loss=26259.63976003, eval_loss=13001.39504252, evalOverTrain=0.49510942
epoch=25, train_loss=25276.28922761, eval_loss=12746.86715853, evalOverTrain=0.50430136
epoch=26, train_loss=25294.83721977, eval_loss=12458.58480041, evalOverTrain=0.49253469
epoch=27, train_loss=24158.83340891, eval_loss=12183.75073361, evalOverTrain=0.50431867
epoch=28, train_loss=23450.66808253, eval_loss=12027.85586041, evalOverTrain=0.51290035
epoch=29, train_loss=24390.66715012, eval_loss=11897.14166953, evalOverTrain=0.48777434
epoch=30, train_loss=22961.50601638, eval_loss=11699.26949050, evalOverTrain=0.50951664
epoch=31, train_loss=21999.24117292, eval_loss=11417.26805059, evalOverTrain=0.51898463
epoch=32, train_loss=22026.29164308, eval_loss=11244.76535335, evalOverTrain=0.51051559
epoch=33, train_loss=21522.26891774, eval_loss=11093.07091071, evalOverTrain=0.51542293
epoch=34, train_loss=20819.32832348, eval_loss=10908.93681146, evalOverTrain=0.52398121
epoch=35, train_loss=20333.69715115, eval_loss=10716.52931275, evalOverTrain=0.52703300
epoch=36, train_loss=19718.62348640, eval_loss=10525.79943426, evalOverTrain=0.53379991
epoch=37, train_loss=19514.34375695, eval_loss=10370.97988526, evalOverTrain=0.53145420
epoch=38, train_loss=18476.93812555, eval_loss=10272.68710253, evalOverTrain=0.55597345
epoch=39, train_loss=18310.02432859, eval_loss=10123.90473677, evalOverTrain=0.55291596
epoch=40, train_loss=17929.62095258, eval_loss=9931.28358611, evalOverTrain=0.55390371
epoch=41, train_loss=17267.01435708, eval_loss=9770.38479533, evalOverTrain=0.56584101
epoch=42, train_loss=17061.05374359, eval_loss=9643.45990478, evalOverTrain=0.56523237
epoch=43, train_loss=16021.09298641, eval_loss=9468.03899776, evalOverTrain=0.59097335
epoch=44, train_loss=16579.96383256, eval_loss=9377.80645763, evalOverTrain=0.56561079
epoch=45, train_loss=15475.68597772, eval_loss=9255.73546585, evalOverTrain=0.59808240
epoch=46, train_loss=14738.91378345, eval_loss=9118.06706488, evalOverTrain=0.61863901
epoch=47, train_loss=14795.16810210, eval_loss=9036.71143530, evalOverTrain=0.61078802
epoch=48, train_loss=14060.19381206, eval_loss=8922.65247424, evalOverTrain=0.63460380
epoch=49, train_loss=13985.50973723, eval_loss=8881.39996915, evalOverTrain=0.63504299
